area,title,room_type,square,position,detail_place,floor,total_floor,house_year,price
西城,宏汇园小区  ,3室1厅  ,85.2,西北,金融街,中楼层,7,1999年建板楼,12000
西城,天仙胡同  ,9室1厅  ,77,东 南 西 北,金融街,低楼层,1,平房,50000
西城,什坊街  ,2室1厅  ,62.4,南,六铺炕,低楼层,5,1975年建板楼,8500
西城,西城晶华  ,1室1厅  ,54.4,东,金融街,中楼层,7,2008年建板楼,10000
西城,五栋大楼  ,5室3厅  ,462.94,南 西 北,车公庄,高楼层,16,2005年建板塔结合,104000
西城,六铺炕二区  ,2室1厅  ,53.3,南 北,六铺炕,高楼层,4,1978年建板楼,7200
西城,凯迪尚府  ,2室1厅  ,107.36,南 北,牛街,低楼层,14,2012年建板塔结合,13000
西城,南沙沟小区  ,3室1厅  ,76.7,南,月坛,高楼层,6,1975年建板楼,13000
西城,新文化街  ,2室1厅  ,67.3,东南,金融街,低楼层,16,1990年建塔楼,15000
西城,白纸坊西街  ,2房间1卫  ,568.65,东 南 西 北,右安门内,中楼层,16,2004年建塔楼,75000
西城,丰汇园小区  ,2室2厅  ,127,南 北,金融街,低楼层,6,1999年建板楼,17500
西城,陶然居  ,1房间0卫  ,26.04,南,牛街,低楼层,20,2000年建塔楼,4200
西城,建功北里  ,1室1厅  ,42.99,东 西,白纸坊,地下室,6,1997年建板楼,4200
西城,一瓶  ,2室2厅  ,139.83,南,陶然亭,低楼层,13,2008年建板塔结合,20000
西城,中京几道  ,1室1厅  ,36.2,南,金融街,低楼层,14,1984年建板塔结合,7200
西城,红莲南里  ,1室1厅  ,36.17,南,马连道,高楼层,6,1980年建板楼,4500
西城,东经路  ,2室1厅  ,53.88,东 西,陶然亭,高楼层,6,1984年建板楼,6000
西城,汽北小区  ,2室1厅  ,60.9,南 北,木樨地,中楼层,6,1987年建板楼,8000
西城,物华大厦  ,3室2厅  ,191.53,东南,阜成门,中楼层,24,2000年建塔楼,30000
西城,前半壁街  ,2室1厅  ,54.3,南 北,官园,地下室,6,1989年建板楼,8500
西城,百万庄17号院  ,2室1厅  ,51.2,南,阜成门,中楼层,5,1976年建板楼,8500
西城,教场口6号院  ,1室1厅  ,51.37,南 北,六铺炕,高楼层,6,2003年建板楼,8000
西城,六铺炕二区  ,1室1厅  ,43.8,东南,六铺炕,高楼层,17,1990年建塔楼,6000
西城,右安门内西街1号院  ,1室1厅  ,49.53,南,右安门内,中楼层,6,1997年建板楼,4800
西城,四合上院  ,4室2厅  ,189.28,东 西,宣武门,高楼层,15,2013年建板塔结合,28000
西城,右安门内西街甲2号院  ,1室1厅  ,50,南,右安门内,高楼层,6,1996年建板楼,4500
昌平,流星花园一区  ,5室3厅  ,265.44,南 北,回龙观,低楼层,3,2003年建暂无数据,28000
昌平,金隅万科城  ,2室1厅  ,90.79,东南,鼓楼大街,高楼层,28,2009年建板塔结合,4900
昌平,龙兴园北区  ,2室2厅  ,85.41,南 北,回龙观,低楼层,6,2000年建板楼,6000
昌平,海德堡花园  ,3室2厅  ,141.52,南 北,北七家,高楼层,4,2004年建板楼,6000
昌平,京科苑  ,3室2厅  ,137.99,南 北,东关,中楼层,6,2001年建板楼,5500
昌平,红石座  ,1房间0卫  ,69.31,东,东关,中楼层,7,2016年建暂无数据,3300
昌平,红石座  ,1房间1卫  ,66.82,东,东关,中楼层,7,2016年建暂无数据,3300
昌平,金科天玺  ,3室3厅  ,213.22,东南 北,小汤山,低楼层,4,2016年建暂无数据,15000
昌平,五街满井胡同  ,2室2厅  ,61.45,南 北,鼓楼大街,低楼层,5,暂无数据,4000
昌平,北郊农场宿舍  ,2室1厅  ,61.02,南,回龙观,高楼层,6,1995年建板楼,5500
昌平,保利垄上二区  ,5室3厅  ,383.52,南 北,小汤山,低楼层,2,2006年建暂无数据,32000
昌平,天通苑北一区  ,2室1厅  ,151.83,东,天通苑,低楼层,28,2004年建塔楼,15000
昌平,名佳花园三区  ,1室1厅  ,62.46,南 北,北七家,高楼层,6,2004年建板楼,3800
昌平,北环里小区  ,2室1厅  ,59.42,南 北,鼓楼大街,中楼层,5,1984年建板楼,3000
昌平,龙山跃  ,3房间1卫  ,58.3,南 北,南邵,中楼层,24,2006年建塔楼,5000
昌平,流星花园一区  ,4室2厅  ,308.63,南 北,回龙观,低楼层,3,2003年建暂无数据,25000
昌平,善缘嘉园  ,2室0厅  ,100.66,南,沙河,低楼层,6,2003年建板楼,16000
昌平,新龙大厦  ,1房间1卫  ,59.9,西,西三旗,中楼层,15,2010年建塔楼,11000
昌平,北环里小区  ,3室1厅  ,53.72,南,鼓楼大街,低楼层,5,1994年建板楼,4200
昌平,郝庄家园  ,2室1厅  ,105.69,南 北,西关环岛,中楼层,6,2004年建板楼,2800
昌平,领秀慧谷C区  ,3室1厅  ,115.84,南 北,回龙观,低楼层,10,2011年建板楼,7500
昌平,北街家园二区  ,5室2厅  ,266.68,南 北,沙河,低楼层,1,2007年建暂无数据,18000
昌平,燕城北苑  ,2室1厅  ,96.35,南 北,北七家,中楼层,10,2010年建板塔结合,5500
昌平,上奥世纪中心  ,1房间0卫  ,46.53,西,西三旗,高楼层,23,2009年建塔楼,4000
昌平,晨浩花园西区  ,4室2厅  ,246.24,南 北,北七家,低楼层,3,暂无数据,12000
昌平,郝庄家园  ,2室1厅  ,78.09,南 北,西关环岛,高楼层,6,2002年建板楼,3000
昌平,天通苑本一区  ,4室1厅  ,209.11,南 北,天通苑,低楼层,6,1999年建板楼,15000
昌平,保利垄上二区  ,5室2厅  ,359.59,南 北,小汤山,低楼层,2,2006年建暂无数据,32000
昌平,龙城花园S区  ,2室1厅  ,69.06,南 北,回龙观,中楼层,6,1999年建板楼,5300
昌平,拓然家苑  ,2室1厅  ,75.04,南 北,南邵,中楼层,6,1999年建板楼,3600
顺义,石园南区  ,6房间1卫  ,276.62,南 北,顺义城,中楼层,16,2006年建板塔结合,15000
顺义,万通天竺新新家园  ,1室1厅  ,85.43,南 北,天竺,低楼层,15,2012年建板楼,11000
顺义,香花畦家园  ,4室2厅  ,179.65,南 北,后沙峪,中楼层,7,2006年建板楼,16000
顺义,双兴南区  ,3室2厅  ,133.6,南 北,顺义城,中楼层,6,2006年建板楼,5200
顺义,东方太阳城  ,4室2厅  ,167.31,南 北,顺义其它,高楼层,4,2003年建板楼,6000
顺义,智地香蜜湾  ,3房间2卫  ,51.59,西,后沙峪,高楼层,9,2010年建板塔结合,6300
顺义,莫奈花园  ,4室2厅  ,242.75,南 北,后沙峪,中楼层,4,2005年建暂无数据,15000
顺义,东亚首航国际  ,2房间1卫  ,52.19,东,顺义其它,高楼层,9,2012年建板塔结合,3200
顺义,水木兰亭  ,2室2厅  ,160.35,南 北,中央别墅区,高楼层,4,2006年建板楼,13500
顺义,江山赋  ,2室1厅  ,97.47,南 北,后沙峪,中楼层,10,2010年建板塔结合,6800
顺义,香花畦家园  ,4室2厅  ,145.29,南 北,后沙峪,高楼层,7,2007年建板楼,12000
顺义,鲁能7号院颐景润园  ,4室2厅  ,180.31,南 北,马坡,中楼层,5,2012年建板楼,8000
顺义,马坡花园二区  ,3室2厅  ,120.02,南 北,马坡,中楼层,6,2003年建板楼,4500
顺义,天恒花园  ,2室2厅  ,97.35,南 北,中央别墅区,中楼层,11,2005年建板塔结合,6500
顺义,龙湖滟澜山  ,5室2厅  ,222.46,南 北,中央别墅区,地下室,2,2008年建暂无数据,40000
顺义,龙湖香醍漫步四区北区  ,5室3厅  ,313.4,东 南 西 北,马坡,低楼层,2,2010年建暂无数据,20000
顺义,江山赋  ,4室2厅  ,114.1,南 北,后沙峪,高楼层,10,2010年建板塔结合,16000
顺义,石园南区  ,1室2厅  ,66.6,南 北,顺义城,中楼层,6,1993年建板楼,3100
顺义,富力湾  ,5室2厅  ,337.68,南 北,马坡,低楼层,3,2009年建暂无数据,18000
顺义,东方太阳城  ,2室2厅  ,108.78,南 北,顺义其它,高楼层,6,2010年建板楼,5000
顺义,北京苏活四区  ,3室2厅  ,140.84,南 北,顺义其它,低楼层,11,2012年建暂无数据,6500
顺义,龙湖香醍漫步四区南区  ,1室0厅  ,38.96,南,马坡,中楼层,8,2012年建板楼,2400
顺义,绿地顺义启航国际  ,1房间1卫  ,40.65,南,后沙峪,高楼层,12,板楼,3500
顺义,莲竹花园  ,2室1厅  ,77.22,南 北,中央别墅区,中楼层,6,2001年建板楼,5500
顺义,万科城市花园  ,4室2厅  ,218.44,南 北,后沙峪,低楼层,4,1999年建板楼,15500
顺义,裕龙三区  ,3室1厅  ,152.72,南 北,顺义城,低楼层,22,2008年建板塔结合,9000
顺义,中国铁建顺鑫汇  ,2房间1卫  ,48,南,顺义其它,低楼层,9,板塔结合,3000
顺义,龙苑别墅  ,8室4厅  ,682.08,东 南 西 北,马坡,低楼层,2,1998年建暂无数据,30000
顺义,江山赋  ,4室2厅  ,209.52,南 北,后沙峪,高楼层,5,2013年建板塔结合,20000
顺义,江山赋  ,5室3厅  ,171.38,南 北,后沙峪,低楼层,5,2013年建板塔结合,30000
东城,正东国际大厦  ,3室1厅  ,210.45,东南,东直门,中楼层,27,2004年建塔楼,30000
东城,当代MOMA  ,3室1厅  ,182.3,西北,东直门,中楼层,21,2008年建塔楼,35000
东城,当代MOMA  ,4室2厅  ,331.87,南 北,东直门,低楼层,19,2008年建塔楼,55000
东城,前门前  ,2房间1卫  ,125.94,南,天坛,高楼层,8,2009年建塔楼,15000
东城,前门前  ,2房间2卫  ,199.41,南,天坛,高楼层,8,2009年建塔楼,20000
东城,建国门北大街5号  ,3室2厅  ,191.74,东,建国门内,中楼层,24,2008年建塔楼,28000
东城,使馆壹号院  ,4室2厅  ,273.97,南 北,东直门,高楼层,19,2016年建板楼,130000
东城,雅安国际公寓  ,3室1厅  ,163.05,东南,建国门内,高楼层,18,2005年建塔楼,21000
东城,东总布胡同19号院  ,2室1厅  ,64.2,南,建国门内,低楼层,16,1992年建塔楼,7500
东城,当代MOMA  ,4室2厅  ,290.21,南 北,东直门,中楼层,7,2008年建板楼,50000
东城,新奥洋房  ,1室1厅  ,42.91,东,永定门,中楼层,11,2006年建板塔结合,5200
东城,当代MOMA  ,4室2厅  ,290.21,南 北,东直门,高楼层,7,2006年建板楼,55000
东城,水上华城  ,3室2厅  ,213.41,南 北,广渠门,高楼层,23,2005年建板塔结合,21000
东城,自由季  ,1房间1卫  ,68.31,西,广渠门,高楼层,10,2010年建板塔结合,6000
东城,贡院九号  ,3室1厅  ,177.19,西北,建国门内,高楼层,18,2000年建板塔结合,25000
东城,水上华城  ,3室1厅  ,166.49,南 北,广渠门,低楼层,23,2005年建板塔结合,16500
东城,恒基中心  ,1房间0卫  ,200.98,西,建国门外,低楼层,23,1997年建塔楼,45000
东城,恒基中心  ,1房间0卫  ,199.8,西,建国门外,低楼层,23,1997年建塔楼,45000
东城,新奥洋房  ,1室1厅  ,44.06,西,永定门,高楼层,13,2006年建板塔结合,5200
东城,兴隆都市馨园  ,1室1厅  ,93.49,东 南,崇文门,高楼层,7,2004年建塔楼,15000
东城,盛德大厦  ,2室1厅  ,106,南 北,和平里,中楼层,20,板楼,18000
东城,冠城名敦道  ,1室0厅  ,79.28,西,广渠门,中楼层,23,2009年建塔楼,13000
东城,冠城名敦道  ,1室0厅  ,76.63,西,广渠门,中楼层,23,2009年建塔楼,11000
东城,冠城名敦道  ,1室0厅  ,76.63,西,广渠门,中楼层,23,2009年建塔楼,11000
东城,贡院九号  ,2室2厅  ,159.89,北,建国门内,低楼层,18,2000年建板塔结合,27000
东城,保利蔷薇  ,2室1厅  ,98.54,南 北,广渠门,低楼层,16,2007年建板塔结合,10700
东城,盛德大厦  ,3室1厅  ,144.61,西,和平里,中楼层,20,板塔结合,19999
东城,大羊宜宾胡同33号院  ,3室1厅  ,77.73,东南 北,建国门内,中楼层,6,1992年建板楼,13800
东城,朝阳首府  ,4室2厅  ,253.74,南 北,朝阳门内,高楼层,11,2009年建板楼,50000
东城,北官厅胡同2号院  ,3室0厅  ,56.92,东 西,东直门,中楼层,5,1978年建板楼,6000
燕郊,福城上上城二季  ,4室1厅  ,150,南,燕顺路国道,低楼层,15,2009年建板塔结合,2600
燕郊,福泽御园  ,1室1厅  ,80,南,福成四期,中楼层,28,2007年建板塔结合,1300
燕郊,福城上上城六期  ,2室1厅  ,80.79,南,福成五期公交总站,低楼层,28,2014年建板楼,1700
燕郊,港中旅·海泉湾  ,2室1厅  ,89,南,燕顺路国道,低楼层,32,板楼,2300
燕郊,纳丹堡  ,2室1厅  ,89,南,燕顺路西,低楼层,33,2009年建板楼,1600
燕郊,福城上上城五期  ,2室1厅  ,81,南 北,福成五期公交总站,高楼层,18,2009年建板楼,1700
燕郊,天子庄园四期  ,3室1厅  ,112,南 北,福成五期公交总站,高楼层,11,2012年建板塔结合,1800
燕郊,燕京航城  ,2室1厅  ,101,南,燕京航城,中楼层,34,2011年建板楼,1700
燕郊,北蔡新村  ,3室1厅  ,115,南 北,燕顺路国道,低楼层,18,2009年建板塔结合,2000
燕郊,福泽御园  ,2室1厅  ,80,南,福成四期,低楼层,18,2007年建板塔结合,1500
燕郊,汇福悦榕湾  ,2室1厅  ,76,南 北,燕顺路国道,高楼层,33,暂无数据,1800
燕郊,金桥嘉苑  ,2室1厅  ,93.61,南 北,首尔甜城,中楼层,18,2012年建板楼,1600
燕郊,天洋城  ,2室1厅  ,70,西北,天洋城,低楼层,33,2010年建板塔结合,1600
燕郊,首尔甜城MOBO公寓  ,2室1厅  ,81,东,首尔甜城,中楼层,26,2013年建塔楼,1600
燕郊,夏威夷蓝湾  ,3室1厅  ,87,南 北,天洋城4代,低楼层,33,2017年建板楼,1400
燕郊,三河润旭商贸中心  ,2室1厅  ,86,南,福成五期公交总站,低楼层,31,塔楼,1600
燕郊,中核二四小区  ,2室1厅  ,44.57,南,天洋城,高楼层,6,1995年建板楼,900
燕郊,青年新城  ,2室1厅  ,70,东北,燕顺路西,低楼层,24,2015年建板楼,1500
燕郊,首尔甜城一期  ,1室1厅  ,70,南,首尔甜城,低楼层,16,2014年建板楼,1150
燕郊,天洋城4代南区  ,1室0厅  ,47,西北,天洋城4代,低楼层,10,2014年建板塔结合,1000
燕郊,嘉都  ,3室2厅  ,100,南 北,燕顺路东,高楼层,33,板楼,1800
燕郊,首尔甜城一期  ,2室1厅  ,82,南 北,首尔甜城,中楼层,33,2014年建塔楼,1600
燕郊,星河皓月  ,2室1厅  ,83,西南,燕顺路西,中楼层,18,2009年建塔楼,1800
燕郊,福城上上城三季  ,3室1厅  ,114,南,燕顺路东,中楼层,18,2010年建板塔结合,2500
燕郊,福泽御园  ,1室1厅  ,52.53,南,福成四期,中楼层,9,2007年建板塔结合,1300
燕郊,福城上上城五期  ,2室1厅  ,96.18,南 北,福成五期公交总站,中楼层,18,2009年建板楼,1500
