data-id,城市,景点,点评
24270,鹤壁,浚县大伾山风景名胜区,31
24270,鹤壁,淇河天然太极图,16
24270,鹤壁,淇河国家湿地公园,15
24270,鹤壁,樱花大道,11
16405,台中,东海大学,880
16405,台中,宫原眼科,934
16405,台中,高美湿地,602
16405,台中,彩虹眷村,481
16405,台中,台湾美术馆,166
18047,海宝塔,海宝塔寺,89
15966,常州恐龙园,常州中华恐龙园,1068
10429,太仓,太仓沙溪古镇,123
10429,太仓,浏河镇,38
10429,太仓,沙溪镇,11
23039,九份,九份老街,2182
10429,太仓,太仓天镜湖,11
23039,九份,基山观海亭,85
10429,太仓,太仓郑和公园,26
23039,九份,竖崎路,36
23039,九份,颂德公园,14
23039,九份,五番坑,22
64160,修武,云台山,987
64160,修武,猕猴谷,381
64160,修武,青龙峡,210
64160,修武,子房湖,287
64160,修武,叠彩洞,247
11424,崆峒山,崆峒山,236
11424,崆峒山,五台-皇城景区,11
11424,崆峒山,崆峒水库,20
23129,宿迁,项王故里,100
23129,宿迁,三台山森林公园,33
23129,宿迁,洪泽湖湿地,33
23129,宿迁,骆马湖湿地,48
23129,宿迁,乾隆行宫,17
66292,新郑,双鹤湖中央公园,16
66292,新郑,黄帝故里,56
66292,新郑,始祖山风景区,20
66292,新郑,郑国车马坑景区,5
66292,新郑,郑州园博园,3
36362,纺织城艺术区,半坡国际艺术区,24
36362,纺织城艺术区,纺织城艺术区,6
10044,阿里山,阿里山森林游乐区,860
10044,阿里山,阿里山邹族文化部落,19
10044,阿里山,阿里山夫妻树,175
10044,阿里山,阿里山森林铁路,28
10044,阿里山,树灵塔,115
28459,黄帝陵,黄帝陵,365
25339,金门,水头聚落,82
25339,金门,莒光楼,124
25339,金门,清金门镇总兵署,53
25339,金门,翟山坑道,66
25339,金门,金门民俗文化村,39
14774,木渎,古松园,21
14774,木渎,古松堂,8
14774,木渎,虹饮山房,2
14774,木渎,姚建萍刺绣艺术馆,2
14774,木渎,翠坊公园,2
15961,鲁山,尧山,156
15961,鲁山,中原大佛景区,76
15961,鲁山,画眉谷景区,24
15961,鲁山,玉皇顶,11
15961,鲁山,尧山滑雪乐园,10
11064,台南,安平树屋,276
11064,台南,安平古堡,324
11064,台南,赤崁楼,309
11064,台南,台南孔庙,193
11064,台南,国立台湾文学馆,160
16887,淮阳,太昊伏羲陵,65
16887,淮阳,龙湖景区,30
16887,淮阳,弦歌台,4
16887,淮阳,画卦台,2
18012,天山大峡谷,天山大峡谷,288
12141,雨崩,雨崩神瀑,530
12141,雨崩,雨崩冰湖,380
12141,雨崩,笑农大本营,244
12141,雨崩,尼农峡谷,196
12141,雨崩,下雨崩,112
18013,克孜尔千佛洞,克孜尔千佛洞,102
18013,克孜尔千佛洞,克孜尔千佛洞,32
17397,高淳,高淳国际慢城,67
17397,高淳,高淳老街,105
17397,高淳,南京高淳县桠溪国际慢城生...,32
17397,高淳,漆桥古村,12
17397,高淳,石臼湖,2
18032,艾提尕尔清真寺,艾提尕尔清真寺,390
14760,神垕,神垕古镇,15
15943,玉龙雪山,玉龙雪山,5435
15943,玉龙雪山,《印象·丽江》,1050
15943,玉龙雪山,格桑花海,19
15943,玉龙雪山,玉湖,10
15943,玉龙雪山,东巴万神园,32
18006,龟兹古城,龟兹古渡,19
66252,宁蒗彝族自治县,泸沽湖,5770
66252,宁蒗彝族自治县,蒗放,29
66252,宁蒗彝族自治县,洛克岛(嬉娃俄岛/湖心岛),71
66252,宁蒗彝族自治县,杨二车娜姆博物馆,184
66252,宁蒗彝族自治县,扎美寺,37
17664,丹阳,万善公园,6
17664,丹阳,水晶山,5
17664,丹阳,季子庙风景区,4
17664,丹阳,延陵季子墓碑,3
17664,丹阳,凤凰湖,3
63871,西峡,西峡龙潭沟,57
63871,西峡,老界岭,13
63871,西峡,鹳河漂流风景区,14
63871,西峡,石门湖,13
63871,西峡,伏牛地下河景区,9
16799,赛里木湖,赛里木湖,1202
20927,七一冰川,七一冰川,236
48962,嵩县,洛阳白云山,129
48962,嵩县,嵩县白云山国家森林公园,36
48962,嵩县,木札岭,26
48962,嵩县,嵩县天池山,18
48962,嵩县,陆浑水库,32
59341,张家港,恬庄古街,15
59341,张家港,张家港香山景区,5
59341,张家港,杨舍老街,10
59341,张家港,张家港市暨阳湖欢乐世界,8
59341,张家港,金凤凰温泉度假村,9
174194,可克达拉市,没有,0
18179,惠山古镇,没有,0
27224,迪庆,普达措国家公园,3352
27224,迪庆,噶丹·松赞林寺,2039
27224,迪庆,纳帕海,1597
27224,迪庆,独克宗古城,1882
27224,迪庆,梅里雪山,1044
140540,新密,打虎亭汉墓,7
140540,新密,伏羲山大峡谷,5
140540,新密,密县县衙,4
140540,新密,神仙洞景区,6
140540,新密,密县城隍庙,3
18007,库木塔格沙漠,鄯善县城,59
18007,库木塔格沙漠,陕西大寺,8
84582,汤山,没有,0
14296,博格达峰,博格达峰,163
66293,禹州,神垕古镇,15
66293,禹州,钧官窑址博物馆,15
66293,禹州,大鸿寨风景区,8
66293,禹州,古钧台,9
10806,梅里雪山,梅里雪山,1044
10806,梅里雪山,雨崩神瀑,530
10806,梅里雪山,飞来寺,570
10806,梅里雪山,笑农大本营,244
10806,梅里雪山,白马雪山,237
16018,麦积山,麦积山石窟,827
16018,麦积山,麦积山植物园,7
66287,灵宝,函谷关历史文化旅游区,47
66287,灵宝,小秦岭地质公园娘娘山风景区,12
66287,灵宝,亚武山风景名胜区,5
66287,灵宝,汉山风景区,1
66287,灵宝,荆山黄帝铸鼎原风景区,1
17808,南郭寺,没有,0
17746,盱眙,明祖陵,54
17746,盱眙,铁山寺国家森林公园,44
17746,盱眙,盱眙第一山,22
17746,盱眙,铁山寺,19
17746,盱眙,中国藏獒观赏园总园,4
10810,普者黑,普者黑村,471
10810,普者黑,丘北县,17
10810,普者黑,落水洞湖景区(新沟农场),13
10810,普者黑,大尖山景区,15
10810,普者黑,普者黑,7
30112,官鹅沟,官鹅沟地质公园,66
64469,荥阳,孤柏渡飞黄风景区,9
64469,荥阳,大海寺,3
64469,荥阳,大堡礁欢乐世界,1
64469,荥阳,三皇山桃花峪风景区,1
64469,荥阳,黄河彩虹谷,1
17316,千灯,秦峰塔,20
17316,千灯,顾坚纪念馆,26
17316,千灯,千灯馆,19
17316,千灯,余氏典当,24
17316,千灯,顾园,9
63870,新安,龙潭大峡谷,148
63870,新安,黛眉山景区,13
63870,新安,青要山自然保护区,7
63870,新安,荆紫仙山,8
63870,新安,汉函谷关,1
17913,交河故城,交河故城,609
18303,景洪,曼听公园,846
18303,景洪,西双版纳野象谷,874
18303,景洪,西双版纳原始森林公园,775
18303,景洪,西双版纳傣族园,725
18303,景洪,勐泐大佛寺,341
66295,遂平,嵖岈山,90
66295,遂平,七五八抗洪英雄纪念碑,3
66295,遂平,花庄假日营地,1
66295,遂平,嵖岈山郁金香园,0
21529,茅山,东方盐湖城,38
21529,茅山,茅山,88
21529,茅山,华夏宝盛园,12
21529,茅山,茅山新四军纪念馆,20
21529,茅山,苏南抗战胜利纪念碑,10
16895,黄河石林,黄河石林国家地质公园,142
140612,汝州,风穴寺,23
140612,汝州,怪坡景区,13
10337,如皋,水绘园,79
10337,如皋,定慧禅寺,19
10337,如皋,李昌钰刑侦技术博物馆,1
174347,平川区,没有,0
17998,新疆天鹅湖,没有,0
11660,元阳,元阳梯田,446
11660,元阳,箐口民俗村,133
11660,元阳,爱春,71
11660,元阳,新街镇(老县城),79
11660,元阳,爱春蓝梯田,29
64166,汤阴,羑里城景区,72
64166,汤阴,岳飞庙景区,62
64166,汤阴,河南省汤阴岳飞纪念馆,16
64166,汤阴,岳飞故里,6
10808,罗平,金鸡峰丛,431
10808,罗平,九龙瀑布群,411
10808,罗平,罗平螺丝田,298
10808,罗平,多依河,138
10808,罗平,罗平坝子,67
140688,启东,黄金海滩,66
140688,启东,圆陀角风景区,15
140688,启东,碧海银沙（启东恒大威尼斯）,2
140688,启东,乐世界儿童王国,0
140688,启东,吕四风情区,0
140566,鄢陵,许由墓,3
140566,鄢陵,许由寨遗址,3
10444,青岛,八大关景区,4751
10444,青岛,栈桥,4924
10444,青岛,青岛天主教堂,2674
10444,青岛,青岛五四广场,3063
10444,青岛,青岛崂山风景区,2466
21034,高邮,镇国寺,13
21034,高邮,京杭运河,12
21034,高邮,盂城驿景区,8
21034,高邮,高邮湖湿地,6
21034,高邮,文游台,9
64937,恒春,垦丁大街/垦丁大街夜市,3082
64937,恒春,鹅銮鼻公园,2309
64937,恒春,后壁湖海鲜市场(已重新開放...,802
64937,恒春,龙磐公园,1674
64937,恒春,白沙湾海滩,1763
64167,商城县,茗阳汤泉,24
64167,商城县,金刚台,16
64167,商城县,黄柏山国家森林公园,16
64167,商城县,西河景区,4
64167,商城县,金刚台（西河）生态旅游区,1
140557,永城,芒砀山,103
140557,永城,梁孝王墓,19
140557,永城,芒砀山文物旅游区(陈胜园),8
140557,永城,夫子山景区,6
140557,永城,汉兴园,8
63220,句容,茅山,88
63220,句容,宝华山国家森林公园,41
63220,句容,茅山新四军纪念馆,20
63220,句容,隆昌寺,11
63220,句容,苏南抗战胜利纪念碑,10
27771,屏东,垦丁大街/垦丁大街夜市,3082
27771,屏东,鹅銮鼻公园,2309
27771,屏东,国立海洋生物博物馆,1073
27771,屏东,后壁湖海鲜市场(已重新開放...,802
27771,屏东,龙磐公园,1674
10575,济南,趵突泉景区,3159
10575,济南,大明湖,2796
10575,济南,黑虎泉,994
10575,济南,济南千佛山风景名胜区,848
10575,济南,济南泉城广场,1580
143793,中牟,郑州中国绿化博览园,80
143793,中牟,郑州中国绿化博览园,22
143793,中牟,方特水上主题乐园,2
143793,中牟,郑州方特梦幻王国,1
143793,中牟,官渡古战场,2
18048,溧水,天生桥公园,16
18048,溧水,溧水天生桥,13
18048,溧水,溧水周园,10
18048,溧水,傅家边农业科技园,6
18048,溧水,石湫,5
10284,泰山,泰山,2098
10284,泰山,天外村,277
10284,泰山,望人松,228
10284,泰山,桃花峪,87
10284,泰山,彩石溪,57
18896,东台,黄海森林公园,13
18896,东台,弶港镇,12
18896,东台,永丰林农业生态园,13
18896,东台,董永七仙女文化园,8
18896,东台,西溪旅游文化景区,2
143782,偃师,三皇寨,263
143782,偃师,偃师商城博物馆,7
143782,偃师,偃师二里头遗址,4
143782,偃师,永宁寺塔基,7
143782,偃师,偃师商城遗址,1
10256,威海,刘公岛,979
10256,威海,威海国际海水浴场,599
10256,威海,乳山银滩旅游度假区,294
10256,威海,赤山风景区,155
10256,威海,西霞口风景区,102
146823,封门村,没有,0
27820,泰兴,黄桥古镇,16
27820,泰兴,泰兴市古银杏森林公园,7
27820,泰兴,新四军黄桥战役纪念馆,6
27820,泰兴,庆云禅寺,2
27820,泰兴,黄桥战役纪念馆,3
11067,日月潭,日月潭国家风景区,1345
11067,日月潭,九族文化村,151
11067,日月潭,玄光寺,131
11067,日月潭,伊达邵,68
11067,日月潭,玄奘寺,49
11243,烟台,蓬莱阁风景区,1545
11243,烟台,长岛,603
11243,烟台,养马岛,311
11243,烟台,烟台山公园,438
11243,烟台,烟台金沙滩,224
12594,南投,日月潭国家风景区,1345
12594,南投,清境农场,867
12594,南投,中台禅寺,393
12594,南投,九族文化村,151
12594,南投,合欢山旅游风景区,185
64181,鹿邑,鹿邑太清宫,12
64181,鹿邑,老子故里,9
64181,鹿邑,明道宫,7
64181,鹿邑,老君台,0
19818,如东,小洋口风景区,33
19818,如东,海上迪斯科休闲旅游区,20
19818,如东,洋口港,8
19818,如东,黄海大桥阳光岛,1
19818,如东,如东香鲸馆,0
64159,舞钢,舞钢二郎山,38
64159,舞钢,灯台架景区,8
64159,舞钢,祥龙谷景区,5
55434,邳州,艾山九龙风景区,11
55434,邳州,桃花岛,1
55434,邳州,银杏时光隧道,1
55434,邳州,古银杏姊妹园,3
55434,邳州,大运河,1
10805,日照,万平口海滨风景区,748
10805,日照,吴家台村,206
10805,日照,日照灯塔风景区,450
10805,日照,任家台民俗旅游度假村,169
10805,日照,五莲山风景区,83
25340,台东,伯朗大道,682
25340,台东,池上饭包文化故事馆,237
25340,台东,绿岛,206
25340,台东,多良火车站,431
25340,台东,三仙台,270
66289,沁阳,焦作神农山,65
66289,沁阳,封门村,5
66289,沁阳,焦作丹河峡谷,1
64200,卫辉,比干庙景区,26
64200,卫辉,比干庙,10
64200,卫辉,跑马岭地质公园,4
64200,卫辉,东湖景区,2
64640,靖江,牧城公园,1
11817,泰安,泰山,2098
11817,泰安,泰安岱庙,779
11817,泰安,泰山方特欢乐世界,120
11817,泰安,天外村,277
11817,泰安,望人松,228
140562,方城,七十二潭景区,9
140562,方城,七峰山生态旅游区,9
140562,方城,望花湖,3
140562,方城,鄂城寺,1
140562,方城,博望坡遗址,1
11270,长岛,九丈崖,745
11270,长岛,月牙湾公园,897
11270,长岛,林海公园,219
11270,长岛,车由岛,203
11270,长岛,烽山公园,96
26088,淡水,淡水渔人码头,1367
26088,淡水,淡水老街,1183
26088,淡水,私立淡江高级中学,688
26088,淡水,淡水红毛城,548
26088,淡水,真理大学,552
64639,大丰,大丰麋鹿国家级自然保护区,80
64639,大丰,荷兰花海,37
64639,大丰,大丰港海洋世界,9
64639,大丰,盐城丹顶鹤湿地生态公园,3
64639,大丰,施耐庵纪念馆,5
143784,桐柏,桐柏山,15
143784,桐柏,桐柏红叶园,15
10443,蓬莱,蓬莱阁风景区,1545
10443,蓬莱,八仙过海景区,420
10443,蓬莱,三仙山,232
10443,蓬莱,万鸟岛,91
10443,蓬莱,蓬莱海洋极地世界,54
66288,孟津,洛阳黄河小浪底风景区,151
66288,孟津,汉光武帝陵,37
66288,孟津,龙马负图寺,15
66288,孟津,汉魏故城遗址,18
66288,孟津,郁金香主题花园,6
11244,曲阜,孔庙,831
11244,曲阜,孔府,627
11244,曲阜,孔林,591
11244,曲阜,明故城,151
11244,曲阜,孔子六艺城,92
18511,新野,南阳白河,13
18511,新野,新野汉画像砖博物馆,2
18511,新野,汉议事台,3
18511,新野,三里河景区,2
18511,新野,白河滩湿地公园,1
22346,嘉义,嘉乐福夜市,12
22266,黎里古镇,六悦博物馆,5
22346,嘉义,桧意森活村,17
22266,黎里古镇,中国锡器博物馆,1
22346,嘉义,嘉义森林之歌公园,7
22346,嘉义,射日塔,7
22346,嘉义,嘉义公园,5
64158,郏县,三苏园景区,15
64158,郏县,郏县文庙,4
64158,郏县,广阔天地大有作为纪念馆,6
64158,郏县,豫西抗日根据地曹沟旧址,1
64158,郏县,临沣寨,0
23995,太仓沙溪,太仓沙溪古镇,123
23995,太仓沙溪,沙溪镇,11
23995,太仓沙溪,乐荫园,11
62975,新北,九份,1670
62975,新北,淡水渔人码头,1367
62975,新北,淡水老街,1183
62975,新北,野柳地质公园,1453
62975,新北,平溪线,441
11707,潍坊,青州博物馆,98
11707,潍坊,黄花溪,126
11707,潍坊,十笏园,98
11707,潍坊,风筝博物馆,163
11707,潍坊,青州云门山,78
140568,民权县,白云寺,15
64642,海门,张謇故居,77
64642,海门,蛎蚜山国家海洋公园,6
64642,海门,江海博物馆,1
64642,海门,南通海门市张謇纪念馆,2
12819,临沂,山东地下大峡谷,172
12819,临沂,蒙山国家森林公园,128
12819,临沂,竹泉村旅游度假区,172
12819,临沂,王羲之故居,73
12819,临沂,平邑蒙山龟蒙景区,63
16211,宜兰,兰阳博物馆,57
16211,宜兰,宜兰国立传统艺术中心,92
16211,宜兰,几米公园,102
16211,宜兰,龟山岛,41
16211,宜兰,南方澳渔港,45
143783,南召,宝天曼国家地质公园,43
143783,南召,南召五朵山,32
143783,南召,南召宝天曼,13
143783,南召,南召九龙瀑,3
143783,南召,百尺潭,5
15812,瑞丽,一寨两国,197
15812,瑞丽,姐告口岸,209
15812,瑞丽,扎朵热带雨林风景区,134
15812,瑞丽,芒令独树成林,132
15812,瑞丽,畹町桥,127
141611,金坛,东方盐湖城,38
141611,金坛,华夏宝盛园,12
141611,金坛,长荡湖旅游度假区,17
141611,金坛,知道坊,2
141611,金坛,中华性文化博物馆,4
12715,德钦,梅里雪山,1044
12715,德钦,雨崩村,802
12715,德钦,雨崩神瀑,530
12715,德钦,飞来寺,570
12715,德钦,白马雪山,237
10795,南街村,南街村观光园,9
17019,台儿庄,台儿庄古城,483
17019,台儿庄,运河湿地公园,33
17019,台儿庄,李宗仁史料馆,35
17019,台儿庄,台儿庄战史陈列馆,29
17019,台儿庄,双龙湖湿地观鸟园,4
64641,海安,海安县博物馆,1
64641,海安,江淮文化园,0
11705,淄博,周村古商城,296
11705,淄博,鲁山国家森林公园,62
11705,淄博,原山国家森林公园,43
11705,淄博,周村烧饼博物馆,119
11705,淄博,潭溪山,31
20416,溱潼古镇,没有,0
140689,淅川,丹江大观苑,31
140689,淅川,坐禅谷,21
140689,淅川,荆紫关古镇,6
140689,淅川,淅川香严寺,15
140689,淅川,淅川县八仙洞景区,5
143772,滑县,道口镇,0
143772,滑县,明福寺塔,0
11400,崂山,青岛崂山风景区,2466
11400,崂山,石老人海滨浴场,1202
11400,崂山,仰口风景游览区,595
11400,崂山,青岛海昌极地海洋公园,347
11400,崂山,北九水风景区,55
64634,新沂,窑湾古镇,58
64634,新沂,马陵山风景名胜区,26
10481,虎跳峡,虎跳峡,3182
10481,虎跳峡,丽江虎跳峡景区(中虎跳峡),969
10481,虎跳峡,28道拐,3
13113,济宁,孔庙,831
13113,济宁,孔府,627
13113,济宁,孔林,591
13113,济宁,明故城,151
13113,济宁,孟府-孟庙,52
64637,扬中,没有,0
64162,泌阳,白云山风景区,8
64162,泌阳,铜山湖森林公园,4
11708,枣庄,台儿庄古城,483
11708,枣庄,微山湖湿地红荷风景区,152
11708,枣庄,抱犊崮国家森林公园,33
11708,枣庄,运河湿地公园,33
11708,枣庄,冠世榴园,47
15060,建水,朱家花园,236
15060,建水,建水文庙,171
15060,建水,建水十七孔桥(双龙桥),169
15060,建水,建水团山村,157
15060,建水,建水朝阳楼,188
11921,东营,黄河入海口湿地公园,150
11921,东营,黄河口生态旅游区,118
11921,东营,黄河大桥,33
11921,东营,东营清风湖,32
11921,东营,东营黄河三角洲,14
11871,红河,元阳梯田,446
11871,红河,朱家花园,236
11871,红河,建水古城,340
11871,红河,建水文庙,171
11871,红河,建水十七孔桥(双龙桥),169
11936,德州,泉城海洋极地世界,20
11936,德州,德州新湖,58
11936,德州,德州太阳谷景区,29
11936,德州,苏禄王墓,19
11936,德州,海岛金山寺,18
64168,淇县,古灵山景区,12
64168,淇县,摘星台公园,13
64168,淇县,朝阳悬空寺,2
64168,淇县,岳飞纪念馆,2
64168,淇县,云梦山风景区,1
10650,东川,东川红土地景区,501
10650,东川,小江泥石流,11
10650,东川,乐谱凹,1
11926,聊城,东昌湖,133
11926,聊城,光岳楼,77
11926,聊城,山陕会馆,59
11926,聊城,景阳冈旅游区,26
11926,聊城,狮子楼旅游区,22
140673,汝阳,西泰山景区,6
140673,汝阳,中国龙隐,2
10430,枫桥古镇,寒山寺,2230
10430,枫桥古镇,苏州枫桥景区,657
10430,枫桥古镇,漕运展示馆,2
63873,社旗,社旗山陕会馆,30
63873,社旗,赊店古城,0
10165,石林,石林风景区,2672
10165,石林,乃古石林,89
10165,石林,中国石林喀斯特地质博物馆,15
10165,石林,长湖风景区,10
10165,石林,大叠水瀑布,11
64169,浚县,浚县大伾山风景名胜区,31
64169,浚县,大伾山风景区,13
64169,浚县,浮丘山风景区,14
64169,浚县,碧霞宫,7
15962,青州,青州博物馆,98
15962,青州,黄花溪,126
15962,青州,青州云门山,78
15962,青州,昭德古街,39
15962,青州,潍坊范公亭公园,45
21747,黄岛,金沙滩,1749
21747,黄岛,银沙滩景区海水浴场,174
21747,黄岛,灵山岛,67
21747,黄岛,青岛唐岛湾,71
21747,黄岛,青岛森林野生动物世界,34
84556,江都,渌洋湖湿地公园,6
84556,江都,斗野亭,4
84556,江都,龙川盆景艺苑,0
64635,洪泽,洪泽湖,40
64635,洪泽,蒋坝镇,6
64635,洪泽,老子山温泉山庄,11
64635,洪泽,凤凰泉国际体育旅游度假中心,1
64635,洪泽,淮上明珠温泉度假村,2
11820,菏泽,曹州牡丹园,111
11820,菏泽,百花园,20
11820,菏泽,水浒好汉城,20
11820,菏泽,曹州牡丹精品园,10
