name,data-id
清迈国际机场,182249
大城,16107
素可泰,15288
董里,40843
合艾,25458
泰国南部,61876
邦帕利,181772
镰仓,10766
旭川市,61630
长崎,11040
富良野,62848
浦安市,171764
静冈,10322
横滨,10764
福冈市,178580
高松市,65826
瑞丽,15812
德钦,12715
虎跳峡,10481
建水,15060
红河,11871
东川,10650
石林,10165
玉溪,11533
怒江,10523
美国东海岸,19411
夏威夷大岛,150800
一号公路,141233
科罗拉多大峡谷,10058
盐湖城,10939
好莱坞,18663
欧胡岛,141158
休斯顿,10915
新奥尔良,10919
Yulara,148182
洛恩,78325
坎贝尔港,65599
纳鲁马,78219
摇篮山,78842
托基,78834
斯旺西,134354
玛格丽特河,78303
弗雷泽岛,25106
瑞喜敦岛,38022
班度士岛,11070
德瓦娜芙希岛,38025
奥露岛,192353
阿米拉岛,192437
康杜玛岛,19064
泰姬珊瑚岛,41050
萨芙莉岛,185144
白马庄园,192332
新城,64946
礁溪,23044
苗栗,25327
兰屿,52237
新竹,58690
嘉义县,139549
西湖乡,145817
吉安乡,64947
竹崎乡,173540
波特兰,10950
蒙特雷,65526
亚特兰大,10918
科科尼诺,140098
大峡谷国家公园,154447
达拉斯,10941
佩吉,126277
圣巴巴拉,64587
费尔班克斯,60234
沙敦,66319
安帕瓦,57029
狗骨岛,17392
长岛(攀牙),182426
帕岸岛,57052
罗勇,65941
阁拍岩,66320
泰国北部,61874
湄林,124692
保山,24185
楚雄,11494
和顺,16491
弥勒,17298
普洱,21358
曲靖,12643
澄江,24834
沙溪,15946
玉龙纳西族自治县,66251
白川乡,59479
成田市,112055
泉佐野市,112177
轻井泽,33098
熊本,61636
钏路市,19813
鹿儿岛,15300
伊豆市,19362
仙台,16675
梅林布拉,78286
棕榈湾,78815
努萨,78201
亚瑟港,78148
罗斯,78099
塞万提斯,65890
卡尔巴里,78387
道格拉斯港,62791
仙女港镇,65834
卓美亚维塔维丽岛,37531
翡诺岛,192350
哈库拉岛,37522
丽世岛,56411
安娜塔拉吉哈瓦岛,37517
库达富士岛,196673
安娜塔拉迪古岛,17752
安嘎嘎岛,48174
第六感拉姆岛,37533
乌隆他尼,124606
阁兰岛,65391
叻丕,65935
大长岛,125001
七岩,124746
玛岛,18251
泰庄,66318
尼空县,124809
南邦,61868
鱼池,64927
马祖,58689
琉球,64936
鹿港,64923
成功,64941
金山,75897
云林,23833
罗东,64868
中坜,75910
喜洲,15949
昭通,11827
文山,23865
丙中洛,17824
芒市,30426
坝美,22136
德宏,19625
蒙自,63577
哈巴雪山,15954
丹佛,10947
卡梅尔,136559
茂宜岛,10951
圣何塞,10932
底特律,10943
圣马特奥,140123
棕榈泉,126731
巴尔的摩,10942
奥兰治县(佛罗里达州),184505
二世古,112045
千岁市,112273
飞驒高山,10767
洞爷湖,179588
金泽市,112162
四国,44996
宇治,40493
别府市,56392
美瑛町,19811
布鲁姆,18297
爱丽斯泉,78775
圣海伦斯,78087
汤斯维尔,65581
芭萝莎,179948
纽卡斯尔,134373
伊登,78524
埃斯佩兰斯,78510
派瑞舒尔,206540
曼德芙仕岛,188099
奥特瑞格,193946
芭环礁,114180
白金岛,16683
哈达哈岛,42275
瓦宾法鲁岛,36843
南马累环礁,114187
四季兰达吉拉瓦鲁岛,38023
贾尼岛,192458
西昌岛,65949
美斯乐,57055
是拉差,124627
呵叻,57035
清康,146560
竹古通县,182414
讪柿,124635
拷叻,124888
清孔,59881
池上,64943
太麻里,145863
狮子,145844
关山,145858
埔里,64926
枋寮,145853
苏澳,64867
水上乡,64932
乌来,75784
菲尼克斯,60247
圣安东尼奥,10641
死亡谷国家公园,21763
匹兹堡,10944
大西洋城,10960
硅谷,186617
克利夫兰,39870
基韦斯特,127228
橙县,126725
罗特内斯岛,78891
里士满(塔斯马尼亚),65575
弗里曼特,78483
巴利纳,78748
利斯莫尔,78333
埃克塞特,78957
锡尔弗顿(新南威尔士),214738
布罗肯希尔,78671
赫维湾,78827
广岛,25939
日光,59477
和歌山市,22283
御殿场,112246
恩纳村,65378
新千岁机场,179750
占冠村,111974
下吕温泉,111850
关西国际机场,179558
丘北,63071
元谋,16394
临沧,17543
诺邓,17823
勐腊,18302
剑川,15948
会泽,18459
巍山,23457
鹤庆,63566
蜜月岛,214255
玛丽富士岛,198845
维拉沙露岛,38036
小班度士岛,193970
星宇岛,38029
戴加利岛,214770
蕉叶岛,37115
吉哈岛,214774
马富施,114189
白蒛,124672
山甘烹,124637
班佩,124791
美塞县,57053
吞武里,65943
小长岛,34764
美旺,125053
碧差汶,124664
亚兰,57034
奥斯汀,60239
锡安国家公园,18759
圣路易斯,16408
洛杉矶国际机场,186224
索尔万,126829
尼亚加拉瀑布城,132378
杰克逊小镇,65548
坦帕,24201
安克雷奇,60241
格拉夫顿,78450
圣基尔达,17314
德比,78552
杰拉尔顿,78476
伯克,78686
Anglesea,78767
约克半岛,41969
斯特拉恩,78052
兰斯林,78787
寿丰,64948
大树,145805
头城,64866
水里,145826
番路乡,173546
大溪,64870
鹿野,145861
鹿谷,64931
凤山,145807
北九州,112137
东京国际机场,179753
白滨町,111968
本部町,112297
汤布院,112327
星野,205511
草津町,112118
热海市,59482
千叶,57658
河口瑶族自治县,141503
白沙古镇,21790
昆明安宁,63579
禄劝,22786
墨江,14949
黑井古镇,20275
广南,63072
碧色寨,22517
宜良,63063
妮兰朵南环礁,114183
四季库达呼拉岛,194630
太阳岛,214678
马富士瓦鲁岛,214578
坎迪玛,214734
拉薇亚妮环礁,114195
阿杜环礁,114179
泰姬珍品岛,214582
苏妮瓦芙士,38080
清佬,124741
佛统,65934
廊开,61871
远巴保县,125067
范县,124729
湄登,124688
竹古巴县,182417
披迈,65947
湄索,124690
纽黑文,22489
布法罗,130424
奥西奥拉县,185996
圣莫尼卡,65982
纳帕,126699
明尼阿波利斯,60244
尔湾,136578
辛辛那提,10945
堪萨斯城,16873
斯坦利,134357
谢菲尔德,134360
库伯佩迪,78595
卡卡杜,78836
Zeehan,77913
卡那封,78633
巴瑟斯特,78733
埃克斯茅斯,78816
乔治敦,78477
官渡古镇,31899
宾川,63567
个旧,63576
尼汝,15606
洱源,63565
挖色镇,132245
泸西,18119
沧源,140626
南涧,141495
北谷町,112278
鸟取市,65818
网走,65989
知床,19814
冈山,65819
富士吉田市,112342
成田国际机场,179744
宫古岛市,132211
石垣岛,112192
马公,64954
集集,64929
和美,145939
三星,75843
大社,145804
金湖,145811
信义,64930
梅山乡,173543
中埔乡,173537
维利甘度岛,194612
斐诺芙岛,214483
清盛,124737
挽捎通县,181766
三出,124642
挽莫县,124961
安康山,125015
桑卡拉武里,65985
索拉,146550
班章,124930
北冲县,124673
塔霍湖,16475
提顿,139970
可爱岛,10935
圣胡安,65555
大苏尔,65192
雷诺,60254
哥伦布,60248
旧金山国际机场,186230
纽瓦克,137334
库伦加塔,37008
Hay,78423
珊瑚湾,78872
曼吉马普,78308
弗雷西内国家公园,144435
比奇沃斯,78726
索伦多,134359
温耶德,77931
波特兰,134368
勐海,63572
呈贡,84665
新平,141534
武定,17149
西盟,63569
澜沧,63570
贡山独龙族怒族自治县,66249
打洛,18308
开远,17296
白马村,112318
岚山,170639
松山市,112316
川崎,24935
姬路市,112223
伊东,112189
濑户内海,182216
佐世保市,111994
苫小牧市,111911
斗南,145934
北港,75850
关西镇,145929
湖口,64877
牡丹乡,64940
大湖,64894
秀林,64945
春日,145832
新店,75911
美发弄,66321
挽巴功县,182699
奔屏县,183818
来兴,146553
蕴朋县,146554
夜佬县,125066
考柯,124521
宗通,124735
北柳,65938
圣贝纳迪诺,126788
阿尔伯克基,129207
密歇根湖,34480
查尔斯顿,65629
贝克斯菲尔德,126414
库克县,183995
纳什维尔,65672
奥克兰,136591
美国南部,183974
库努纳拉,78356
约克(西澳大利亚),134351
麦带区,139983
HallsGap,78430
天鹅山,78044
戴尔斯福特,78558
巴拉腊特,78749
米尔迪拉,78280
曼哲拉,78310
藤泽市,61635
丰冈市,111900
小豆岛,182195
常滑市,111914
直岛,66347
高野山,53817
新潟市,60814
关东,60211
屋久岛,112382
光复,64949
三义,64892
布袋,144537
玉里,75776
富里,64952
七美,64955
大林,145809
湖西,64953
东港镇,145833
元江,141536
云龙,63564
石鼓镇,33201
禄丰,63573
盈江,63059
思茅,141521
云南江城,141517
维西,141502
陆良,18756
林信,124704
塔帕侬,124614
春丕,124733
丹塞,124731
廉愚县,124705
景溪,124895
班清,146558
班克兰,124870
空銮县,183521
西雅图塔科马国际机场,186266
大学城,130442
大沼泽地国家公园,10933
夏洛特,129543
大雾山国家公园,147980
印第安纳波利斯,60262
斯坦福,191849
普罗维登斯,65631
普林斯顿,129158
班伯里,78660
卡尔古利,78386
格里诺,78446
奥古斯塔,134393
昆斯克利夫,78126
Bright,78675
金士顿(塔斯马尼亚),134378
尼尔森湾,78213
库马,78591
小田原市,23898
立山黑部,33065
川越市,24274
界市,112004
宫崎,112089
名护市,132212
富山市,65719
留寿都滑雪场,205556
上川町,112164
金沙镇,145812
斗六,75914
大寮,145806
新园,145849
北斗,64925
草屯,145822
金峰,145860
铜锣乡,145815
九如,145836
通海,19676
石屏,63575
云南马龙,63066
龙陵,17593
祥云县,141496
晋宁,36359
弥渡,33267
孟连,63568
鸡街,143759
娘隆,124678
坤敬直辖县,124716
佛太颂,124658
坤戎,146555
黎逸,146563
夜岁县,124689
沙蒙,146673
王南安科,125009
夜沙良,124691
剑桥,65869
俄克拉荷马,10922
谢尔比县（田纳西州）,140107
莫阿布,65254
杰克逊,60252
皇后县,139876
大熊湖,126428
圣路易斯-奥比斯保,126797
萨克拉门托,65677
金德拜恩,78393
Dorrigo,78539
洛坎普顿,78105
凯瑟琳,78380
北斯特拉德布罗克岛,144548
坎贝尔镇,78647
福斯特,78486
阿米代尔,78762
Griffith,78443
车城乡,64938
南州,145842
尖石,75915
公馆乡,173786
横山乡,174116
林边,145839
竹北,64876
雾台,145848
潮州镇,145831
野泽温泉滑雪度假村,172172
大分市,65825
指宿市,112212
福岛市,38696
大津市,112010
山形市,65716
安比高原滑雪度假村,205781
德岛市,57368
富士市,112266
宣威,63795
寻甸,140759
金平,38972
嵩明,141509
梁河,63060
师宗,63068
富宁,141529
易门,141535
泸水,63061
春那目,124602
萨凡纳,127523
劳德代尔堡,127178
麦迪逊,60256
格林,188180
塞班国际机场,186239
圣西蒙,65983
西棕榈滩,60260
圣奥古斯丁,15928
尤金,19005
纳拉宾,18296
温莎(悉尼),134352
Orange,134370
诺拉,78190
塔姆沃思,78041
沃加沃加,77986
Tenterfield,78032
班达伯格,78659
博立海特,78657
万峦,145847
竹田,145852
玛家,145841
枋山,136487
望安乡,145830
延平,145864
南澳乡,174140
五结,75786
白沙乡,64957
宁洱,141520
华宁,64113
沾益,63067
水富,63065
峨山,141533
勐罕,18311
福贡,63062
屏边苗族自治县,141506
江川,63574
嬉野市,63708
淡路岛,17895
埼玉市,57311
秋田市,60216
宫岛,112091
仓敷,112124
松本市,112106
室兰市,112079
阿苏市,112377
新加坡,10754
美国北部,183977
里弗赛德,126773
马德拉,126655
红杉国家公园,126819
布鲁克林,137368
斯廷博特斯普林斯,127008
别克斯,119660
伯克利,136553
路易斯维尔,42238
Tullah,78007
德洛兰恩,78557
德文港,78548
扬切普,77927
吉尔福德,78442
索雷尔港,78134
奥古斯塔港,78147
伯尔尼,78656
罗金厄姆,78104
元长乡,173582
万荣乡,144535
田中,145940
竹山,145829
溪湖,64924
员林,145941
凤林,144534
达仁,145855
东河乡,145857
勐仑,18307
八宝,142386
禄充,143755
麻栗坡,141530
楚雄市,174647
富源,63069
固东镇,143714
片马,16868
姚安,140761
高知市,65932
弘前市,112217
志贺高原,112329
三岛市,112093
下关市,111978
东大阪市,112227
三鹰,170573
稚内,61632
奥飞驒温泉乡,185969
阿斯本,204674
文图拉,126880
土桑,126311
尼亚加拉县,140114
孟菲斯,130339
里士满,60253
肯尼迪国际机场,186245
门罗县,140103
特拉华,129717
Nannup,78222
Dongara,78541
Mundaring,78235
赫曼斯堡,89570
滕南特克里克,138797
邓斯伯勒,78532
彭伯顿,78168
TimberCreek,148178
Gunbalanya,148177
卑南,64944
中寮,145827
大武,145856
国姓,145823
满州,64939
丰滨,64950
土库,145936
头份,64893
竹南,145820
河津町,112393
伊豆大岛,112326
三重郡,65817
鸟羽市,111918
石垣市,145683
带广,112030
读谷村,112353
座间味,111847
山中湖村,112355
富民,141507
双江,141528
大理新华村,17759
绿春,141504
大关,141437
耿马,141512
草海镇,139776
漾濞,62922
永胜,63571
迪拜,11214
阿布扎比,11215
沙迦,11216
阿治曼,65966
拉斯海马,146049
艾恩,75963
乌姆盖万,65967
富吉拉,146048
哈塔,75970
金曼,65596
弗拉格斯塔夫,126250
拉特,145165
密尔沃基,138188
塔兰特县,140108
萨利纳斯,65684
马里波萨,126661
马林,139973
关岛国际机场,186242
Borroloola,148181
卡拉萨,78824
Batchelor,148179
马塔兰卡,147006
黑德兰港,78144
贾比鲁,78831
沃泊尔-诺那鲁普国家公园,78198
阿纳姆地,165104
PineCreek,148180
造桥,145819
西螺,145937
海端,145859
南庄乡,173792
内埔,145843
卓溪,144536
太鲁阁,12650
新埤,145850
长滨乡,64942
中部国际机场,179759
甲府市,112135
滨松市,112099
宇都宫市,111876
下田市,61633
八王子市,112243
宫城郡,16676
栃木,57312
福井市,65816
章朗,18310
云县,141515
景谷,141519
砚山,141532
马关,63070
盐津,63064
永平,141497
凤庆,141511
永仁县,132166
拉斯阿尔卡麦,75951
豪尔费坎,75954
巴厘岛,10460
美娜多,66121
龙目岛,31295
民丹岛,13752
蓝梦岛,104354
雅加达,16111
吉安雅,104412
金巴兰,104394
日惹,16474
圣克鲁兹,126808
帕萨迪纳,126736
斯阔谷滑雪场,205964
阿拉梅达,139971
范尔滑雪场,205808
伊格尔县,126944
奥兰治县(纽约州),185942
檀香山国际机场,186257
科罗纳多,126498
伍德布里奇,77944
密孙海滩,78810
AgnesWater,78922
丹特里,78565
朗芮,78326
土乌巴,78016
GreatKeppelIsland,78448
布里德波特,78676
新诺福克,78208
泰武,145845
瑞穗,64951
西屿乡,64956
佳冬,145835
来义,145837
崁顶乡,173507
莿桐乡,173561
福兴乡,173729
花坛乡,173732
鲁甸,141438
南华县,141493
施甸,141485
景东,141518
巧家,141439
陇川,141498
华坪,141510
新街镇,84536
大姚,141491
龟冈市,112168
尾道市,112013
由布市,169181
天桥立,147031
伊势市,112195
大久野岛,185192
高崎市,65843
国头郡,112403
丰岛,182201
西努沙登加拉,139700
登巴萨,66118
巴淡群岛,20250
布罗莫火山,36276
棉兰,62037
罗威那,104253
苏腊巴亚,66095
科莫多,139255
克隆孔,66119
劳登县,185921
安娜堡(密歇根),186935
圣华金,188156
格威内特县,186065
猛犸山,206096
哈特福德,60251
达拉斯国际机场,186254
杜勒斯国际机场,186236
科德角,22466
里士满,148199
Ingham,78406
Deniliquin,78556
伊丘卡,78525
肯普西,78376
西南岩,78845
奥特兰兹,78183
马奇镇,78238
达博,78535
社头乡,173735
二林,145938
卓兰,145821
后龙,145813
三湾乡,173789
秀水乡,173738
永靖乡,173741
埔盐乡,173756
埤头乡,173759
镇康,63563
镇雄,141444
威信,141441
镇沅,141522
昌宁,141484
娜姑,143723
兰坪,141516
永善,141443
彝良,141442
盛冈市,112083
今归仁村,112058
唐津市,63715
吹田市,111955
上富良野町,112166
吉野町,112453
天草市,112439
雾岛市,112346
忍野村,112405
万隆,62038
婆罗浮屠,104448
水明漾,104512
韦岛,65385
达拉湾,58719
图兰奔,104532
四王群岛,154907
三宝垄,104264
外南梦,66126
圣托马斯,65850
安纳波利斯,57800
莫诺,139969
朱诺,63770
弗雷斯诺,65525
奥尔巴尼,60238
拉奈岛,127582
麦卡伦国际机场,186281
塞多纳,126293
Bellingen,147003
Nimbin,78206
莫维伦巴,78231
斯科茨代尔,148200
科尔斯湾,78599
Maldon,78314
本迪戈,78716
沃尔哈拉,77984
葛林罗旺,78462
埔心乡,173753
芳苑乡,173750
大村乡,173744
伸港乡,173747
头屋,145816
苑里,145818
冬山乡,174134
大同乡,174137
员山乡,174131
绥江,141440
牟定,141492
绮罗村,143716
永德,141514
永芝,18050
水碓村,143712
西畴,141531
双柏,141494
哀牢山,26453
岛田市,111984
山口市,65820
久留米市,112119
人吉市,112215
半田市,112236
会津若松市,112344
丰中市,111901
犬山市,112197
丰见城市,111910
德黑兰,47029
设拉子,49111
亚兹德,49448
卡尚,146025
马什哈德,66132
库姆,65521
马夫达沙特,139691
大不里士,66131
基什岛,147689
苏门答腊,162103
珀尼达岛,104546
梭罗,66124
巴东,135660
班达亚齐,66115
圣吉吉,104529
勿里洞岛,66117
卡里汶爪哇,104380
巴厘巴板,63924
圣菲,65978
贝尔维尤,137261
史凯威,63748
沙斯塔,65527
奥林匹亚,60240
格林维尔,65553
南卡罗来纳-哥伦比亚,60249
瓦尔迪兹,126220
大洋城,128326
卡索曼,78625
Stawell,78054
金伯利区,140150
Toodyay,148197
Northam,78196
Wangaratta,77975
谢珀顿,78071
希格内特,78567
吉夫斯顿,78479
壮围乡,174128
侯硐,23045
野柳,20829
竹东,145931
新埔,145930
芎林,145933
通霄,145814
北埔,145932
宝山乡,174110
碧罗雪山,18167
飞来寺,27055
梁王山,24070
高黎贡山,16524
滇越铁路,18429
橄榄坝,18306
大理蝴蝶泉,17757
玉几岛,17980
苍山,17981
伊达市,61631
近江八幡市,112354
茨木市,168737
八代市,111868
熊野市,63741
中富良野,112069
立川市,111947
多摩市,112447
沼津市,112032
卡郎阿森,146230
茂物,66123
望加锡,66122
普兰巴南,104285
班达群岛,146248
艾湄湾,104486
伯劳,63925
打拉根,104227
玛琅,66127
纳坦兹,146039
阿巴斯港,66130
加兹温,147679
呼罗珊,140003
阿卜亚内赫,146040
克尔曼沙赫,147682
胡齐斯坦,140004
阿瓦士,66133
凯拉尔达什特,147678
杰克逊维尔,136690
博兹曼,128877
塔科马,60259
斯波坎,131028
莫哈维,139968
明尼苏达州-圣保罗,60257
斯普林菲尔德,137236
诺福克,128947
威廉斯堡,130931
休恩维尔,78411
索雷尔,188975
富兰克林戈登野河国家公园,134381
莱加那,78340
拉特罗布,78345
Coolgardie,148198
新丰乡,174104
峨眉乡,174107
溪州乡,173762
田尾乡,173765
六脚乡,173525
东石乡,173528
新港乡,173522
溪口乡,173519
朴子,144539
南诏风情岛,17758
鸡足山,10416
崇圣寺,18051
洱海,15947
阿佤山,16672
白马雪山,20244
独龙江,18149
纳帕海,15951
普达措,15953
高千穗町,112449
南淡路市,112427
武藏野市,112078
高槻市,111938
根室市,112050
富士宫市,112264
水户市,65821
轮岛市,111874
奥多摩,21480
沙璜,139961
肯达里,104377
哲帕拉,66125
松巴,104533
姆杜克,104329
庞里,104481
马塔兰,66120
八丹拜,104320
塞里布群岛,146213
萨南达季,147681
达马万德,141027
马库,147674
拉什特,66129
吉兰省,66128
格什姆岛,147690
霍尔木兹岛,147691
克尔曼,147692
布什尔,147688
卡纳布,130739
小石城,60261
拉荷亚,27892
卡尔斯巴德,136558
阿灵顿县,186071
麦基诺岛,65692
半月湾,136576
纽波特,136732
长岛(纽约),188177
民雄乡,173516
鹿草乡,173534
大埔乡,145810
盐埔,145851
高树,145834
里港,145838
麟洛,145854
万丹,145846
长治乡,173510
松赞林寺,15952
千龟山,15944
九子海,33074
阿庐古洞,17914
抚仙湖,17959
轿子雪山,25576
九乡,17817
大山包,40453
螳螂川,23558
出云市,111944
富里市,171782
白河市,111966
男木岛,182237
岛尻郡,145654
笛吹市,61634
鸣泽村,112411
筑波市,111892
久米岛町,112509
戈尔甘,147695
霍拉马巴德,147684
舒什,147685
舒什塔尔,147687
萨里市,147694
赞詹,147680
巴姆,145695
乌尔米耶,147676
扎黑丹,147693
勿里达,104452
佩姆特兰,104515
索埃,146239
武吉拉旺,146232
白努亚港,104463
邦加槟港,104308
杜亚岛,104421
苏加武眉,104246
拉姆邦,104355
达勒姆县,186041
米德尔塞克斯,139949
荷兰村,10744
诺克斯维尔,130333
诺福克,139980
奥兰多国际机场,186269
摩洛凯伊,150805
费尔法克斯,130841
加拉班,114059
太保,144540
水林乡,173591
名间,145824
林内乡,173552
二水乡,173780
竹塘乡,173777
芬园乡,173768
线西乡,173774
古坑乡,173555
狮子山,29221
勐景来,18305
文海,16141
黑龙潭公园,15945
拉市海,15894
曼旦,18312
磨憨,39124
豆沙关,17962
中头郡,145686
四国中央市,112442
丰桥市,111903
伊豆之国市,112330
南砺市,112399
松岛町,112104
津市,65823
秩父市,112277
岸和田市,112140
伊津高原,146229
新加拉惹,104523
塔巴南,104234
丹戎槟榔,104228
巴芝丹,146224
不拉士打宜,104461
巴里巴里,104305
特尔纳特岛,104217
武吉丁宜,66116
塞姆南,147696
霍伊,147675
哈马丹,147683
达姆甘,147697
阿尔达比勒,147677
多佛,60246
亚瓦派,140099
科罗拉多斯普林斯,126936
尚佩恩,127682
帕果帕果,76499
迈阿密国际机场,186227
韦恩县(密歇根州),186023
柏林（内华达）,146805
索萨利托,65673
大埤乡,173558
台西乡,173576
东势乡,173579
仑背乡,173570
二仑乡,173567
虎尾,145935
褒忠乡,173564
三地门,64935
冈崎市,112018
贝冢市,112173
枚方市,168734
田尻町,168812
浦添市,145680
春日市,145693
今治市,146261
筑紫野市,112434
松江市,112107
班贾尔马辛,104476
比亚克岛,104460
梭隆,104248
曼诺瓦里,104339
芝拉扎,104435
淡目,146221
巴图,104473
萨朗干,104269
特洛武兰,146223
塔尔萨,129892
米苏拉,128902
沃思堡,130487
法哈多,119633
韦克县,186056
巴罗,138727
萨拉索塔,127340
图莱里,140101
科纳国际机场,186251
勇拂郡,62833
岛原市,145649
宇流麻市,145685
女木岛,182240
东川町,112441
云仙市,112321
对马市,145650
伊江村,145660
明日香村,112480
香港,10189
安巴拉哇,104490
卡里乌昂,104385
迪延高原,146219
帕朗特里蒂斯,104306
塔望芒武,104225
拉哈,146246
鲁滕,146235
拉姆巴塔,146237
奈贝亚拉,104326
奥克兰,10865
皇后镇,10885
基督城,15920
但尼丁,10883
罗托鲁瓦,10868
蒂卡普,17208
瓦纳卡,117415
惠灵顿,10877
库克山,16139
布劳沃德,140102
明尼苏达州-布鲁明顿,60277
罗切斯特(纽约州),137414
布朗克斯,129277
贝克山,24105
德鲁,145124
拉皮德城,65233
爱迪生,129090
苏厄德,63888
澳门,10206
冰见市,112222
蒲郡市,112249
丰田市,111899
川口市,112149
彦根市,112225
尼崎市,112289
木津川市,169901
长滨市,112076
西伊豆町,112462
毛梅雷,104337
新当,146241
吉打邦,104376
巴贾瓦,146234
阿洛岛,146238
塞马拉普拉,104542
卡利安达,104389
特特巴都,104537
大松巴哇,104240
坎特伯雷,140936
麦肯奇,145783
凯库拉,117482
汉密尔顿,11163
米尔福德峡湾,15922
蒂阿瑙,62793
福克斯冰川,117540
箭镇,35759
奥玛鲁,65394
列克星敦,128117
塞勒姆-马萨诸塞州,65283
陶斯,129245
奥古斯塔,60237
布里斯托尔,127024
莫比尔,126156
费利蒙,65583
哈德逊,186707
得梅因,65572
科伦坡,11059
康提,11061
努沃勒埃利耶,11062
尼甘布,63702
加勒,18044
蒂瑟默哈拉默,112905
米瑞莎,112949
马特莱,112962
乌纳瓦图纳,112903
挂川市,112171
府中市,112267
调布市,112272
平冢市,112218
佐仓市,111999
松户市,112108
和光市,112307
市川市,112210
西宫市,112042
巴拉巴特,104284
沙马林达,104271
马马沙,146245
井里汶,104430
展玉,104441
帕拉布安拉图,104296
打横,104226
古突士,104367
庞岸达兰,104310
格雷茅斯,65520
霍基蒂卡,117526
尼尔森,10879
格林诺奇,117497
陶波,117377
怀托摩,141247
北部地区,145773
因弗卡吉尔,117485
特威泽尔,117551
圣乔治(犹他州),137978
基奈半岛,139896
伍斯特（马萨诸塞州）,137069
查塔努加,130292
阿马里洛,130392
诺姆,145140
布拉索斯县,186086
迪卡尔布县,185918
默塞德,126670
锡吉里耶,11060
埃勒,113028
亭可马里,64748
马特勒,64773
丹布拉,18043
阿努拉德普勒,64751
波隆纳鲁沃区,112925
雅拉国家公园,135899
汉班托塔,113011
高冈市,111940
土浦市,111895
淡路,112323
平泉町,112444
磐田市,112179
宜野湾市,112248
生驹市,168938
犬岛,182285
户田市,112308
丹戎勒斯昂,104513
查雅普拉,104398
兰特包,104274
安亚尔·基杜尔,104483
芝波达斯,146216
贾里达,104443
北加浪岸,104298
普卡基湖,117472
怀卡托,62993
怀塔基,117352
丰盛湾,139576
阿卡罗阿,65552
哈斯特,138870
泰晤士,117537
弗朗兹约瑟夫冰川,65592
提马鲁,117370
库莱布拉,136237
克莱顿县,186059
门多西诺,126667
查塔姆县,140104
科林县,185978
阿肯色,145116
洛斯阿拉莫斯,65630
奥兰治县(北卡罗来纳州),186092
威尔明顿,127097
希克杜沃,113007
本托塔,113049
巴杜勒,64749
贾夫纳,64747
库鲁内格勒,112972
拉特纳普勒,64750
萨伯勒格穆沃,139914
韦利格默,112893
